     A,B,C,D,E,F,G,H
     0.040132756,90928,,branch-misses,3709143,9.22,,
     0.040132756,4294,,iTLB-load-misses,7699945,19.14,,
     0.040132756,31667,,dTLB-load-misses,11694713,29.08,,
     0.040132756,38320,,dTLB-store-misses,15691700,39.02,,
     0.040132756,179279,,L1-icache-load-misses,15999483,39.79,,
     0.040132756,11915663,,L1-dcache-load-misses,16004476,39.81,26.75,of all L1-dcache accesses
     0.040132756,600874,,l2_rqsts.all_demand_miss,16000354,39.80,,
     0.040132756,282686,,LLC-load-misses,15999476,39.80,183.18,of all LL-cache accesses
     0.040132756,53174,,LLC-store-misses,15997705,39.80,,
     0.040132756,141616543,,cycles,16000277,39.81,,
     0.040132756,261418197,,instructions,12530533,31.18,1.85,insn per cycle
     0.040132756,44541545,,L1-dcache-loads,8531432,21.23,,
     0.040132756,2811670,,L1-dcache-load-misses,4537783,11.29,6.31,of all L1-dcache accesses
     0.040132756,154324,,LLC-loads,534106,1.33,,
     0.040132756,<not counted>,,LLC-load-misses,0,0.00,,
     0.080463092,185972,,branch-misses,16001618,39.67,,
     0.080463092,1250,,iTLB-load-misses,16000898,39.67,,
     0.080463092,46389,,dTLB-load-misses,16007936,39.69,,
     0.080463092,8295,,dTLB-store-misses,15999842,39.67,,
     0.080463092,27622,,L1-icache-load-misses,16007214,39.69,,
     0.080463092,2313400,,L1-dcache-load-misses,12858731,31.88,3.42,of all L1-dcache accesses
     0.080463092,396291,,l2_rqsts.all_demand_miss,8850575,21.94,,
     0.080463092,50497,,LLC-load-misses,4857681,12.04,15.79,of all LL-cache accesses
     0.080463092,25996,,LLC-store-misses,858111,2.13,,
     0.080463092,<not counted>,,cycles,0,0.00,,
     0.080463092,330308983,,instructions,3470095,8.60,,
     0.080463092,67559949,,L1-dcache-loads,7469082,18.52,,
     0.080463092,2385865,,L1-dcache-load-misses,11464759,28.43,3.53,of all L1-dcache accesses
     0.080463092,319842,,LLC-loads,15466087,38.35,,
     0.080463092,287268,,LLC-load-misses,16007710,39.69,89.82,of all LL-cache accesses
     0.120791998,308589,,branch-misses,13172326,32.66,,
     0.120791998,3266,,iTLB-load-misses,9174077,22.75,,
     0.120791998,146886,,dTLB-load-misses,5181312,12.85,,
     0.120791998,3922,,dTLB-store-misses,1182384,2.93,,
     0.120791998,<not counted>,,L1-icache-load-misses,0,0.00,,
     0.120791998,2187925,,L1-dcache-load-misses,3142142,7.79,6.05,of all L1-dcache accesses
     0.120791998,147087,,l2_rqsts.all_demand_miss,7138949,17.70,,
     0.120791998,190862,,LLC-load-misses,11139300,27.63,21.29,of all LL-cache accesses
     0.120791998,32045,,LLC-store-misses,15138052,37.54,,
     0.120791998,139054558,,cycles,16003587,39.69,,
     0.120791998,151898169,,instructions,16008208,39.70,1.09,insn per cycle
     0.120791998,36191211,,L1-dcache-loads,16002334,39.69,,
     0.120791998,3518488,,L1-dcache-load-misses,16003070,39.69,9.72,of all L1-dcache accesses
     0.120791998,896539,,LLC-loads,15995558,39.67,,
     0.120791998,368066,,LLC-load-misses,15992630,39.66,41.05,of all LL-cache accesses
     0.161065334,320195,,branch-misses,2821056,7.01,,
     0.161065334,1098,,iTLB-load-misses,6817578,16.93,,
     0.161065334,34169,,dTLB-load-misses,10822446,26.88,,
     0.161065334,4714,,dTLB-store-misses,14819994,36.80,,
     0.161065334,508355,,L1-icache-load-misses,16006691,39.75,,
     0.161065334,2392209,,L1-dcache-load-misses,16009325,39.76,4.08,of all L1-dcache accesses
     0.161065334,460172,,l2_rqsts.all_demand_miss,15993115,39.72,,
     0.161065334,116577,,LLC-load-misses,15994310,39.72,50.08,of all LL-cache accesses
     0.161065334,12158,,LLC-store-misses,15995900,39.72,,
     0.161065334,131828836,,cycles,15993790,39.72,,
     0.161065334,238644191,,instructions,13459509,33.42,1.81,insn per cycle
     0.161065334,58648467,,L1-dcache-loads,9460915,23.49,,
     0.161065334,9106050,,L1-dcache-load-misses,5459263,13.56,15.53,of all L1-dcache accesses
     0.161065334,232765,,LLC-loads,1460429,3.63,,
     0.161065334,<not counted>,,LLC-load-misses,0,0.00,,
     0.201360716,217128,,branch-misses,16001306,39.71,,
     0.201360716,1319,,iTLB-load-misses,16001931,39.71,,
     0.201360716,80523,,dTLB-load-misses,15999029,39.70,,
     0.201360716,6485,,dTLB-store-misses,16004490,39.72,,
     0.201360716,22661,,L1-icache-load-misses,15998031,39.70,,
     0.201360716,3510205,,L1-dcache-load-misses,13751097,34.12,6.26,of all L1-dcache accesses
     0.201360716,937831,,l2_rqsts.all_demand_miss,9746955,24.18,,
     0.201360716,526221,,LLC-load-misses,5755093,14.28,90.30,of all LL-cache accesses
     0.201360716,1513,,LLC-store-misses,1757479,4.36,,
     0.201360716,<not counted>,,cycles,0,0.00,,
     0.201360716,93217332,,instructions,2543213,6.31,,
     0.201360716,56099889,,L1-dcache-loads,6543908,16.24,,
     0.201360716,9462561,,L1-dcache-load-misses,10541390,26.16,16.87,of all L1-dcache accesses
     0.201360716,582725,,LLC-loads,14548471,36.10,,
     0.201360716,263383,,LLC-load-misses,15997875,39.70,45.20,of all LL-cache accesses
     0.241656309,476108,,branch-misses,14031531,34.82,,
     0.241656309,7635,,iTLB-load-misses,10033257,24.90,,
     0.241656309,79051,,dTLB-load-misses,6038903,14.99,,
     0.241656309,1066,,dTLB-store-misses,2040848,5.06,,
     0.241656309,<not counted>,,L1-icache-load-misses,0,0.00,,
     0.241656309,3950180,,L1-dcache-load-misses,2247795,5.58,6.38,of all L1-dcache accesses
     0.241656309,339807,,l2_rqsts.all_demand_miss,6249625,15.51,,
     0.241656309,162718,,LLC-load-misses,10243568,25.42,26.48,of all LL-cache accesses
     0.241656309,37539,,LLC-store-misses,14241393,35.35,,
     0.241656309,140005459,,cycles,15997948,39.71,,
     0.241656309,251484936,,instructions,16008047,39.73,1.80,insn per cycle
     0.241656309,61921781,,L1-dcache-loads,16008061,39.73,,
     0.241656309,3286994,,L1-dcache-load-misses,16009990,39.74,5.31,of all L1-dcache accesses
     0.241656309,614476,,LLC-loads,16006375,39.73,,
     0.241656309,391610,,LLC-load-misses,15992215,39.69,63.73,of all LL-cache accesses
     0.282013116,404809,,branch-misses,1963832,4.87,,
     0.282013116,1232,,iTLB-load-misses,5959500,14.77,,
     0.282013116,111799,,dTLB-load-misses,9962234,24.68,,
     0.282013116,5497,,dTLB-store-misses,13963361,34.60,,
     0.282013116,15895,,L1-icache-load-misses,16004960,39.66,,
     0.282013116,3052743,,L1-dcache-load-misses,15999349,39.64,10.48,of all L1-dcache accesses
     0.282013116,678386,,l2_rqsts.all_demand_miss,15995394,39.63,,
     0.282013116,527688,,LLC-load-misses,16008699,39.67,45.94,of all LL-cache accesses
     0.282013116,9360,,LLC-store-misses,16004554,39.66,,
     0.282013116,126801129,,cycles,15998231,39.64,,
     0.282013116,91602106,,instructions,14408323,35.70,0.72,insn per cycle
     0.282013116,29123960,,L1-dcache-loads,10394453,25.75,,
     0.282013116,2616335,,L1-dcache-load-misses,6400411,15.86,8.98,of all L1-dcache accesses
     0.282013116,1148681,,LLC-loads,2416144,5.99,,
     0.282013116,<not counted>,,LLC-load-misses,0,0.00,,
     0.322350325,277577,,branch-misses,16012710,39.70,,
     0.322350325,2246,,iTLB-load-misses,16001328,39.67,,
     0.322350325,63070,,dTLB-load-misses,16002037,39.67,,
     0.322350325,3217,,dTLB-store-misses,16022342,39.72,,
     0.322350325,12935,,L1-icache-load-misses,15987759,39.64,,
     0.322350325,2786567,,L1-dcache-load-misses,14740058,36.54,6.35,of all L1-dcache accesses
     0.322350325,668539,,l2_rqsts.all_demand_miss,10745203,26.64,,
     0.322350325,510508,,LLC-load-misses,6733153,16.69,57.85,of all LL-cache accesses
