     A,B,C,D,E,F,G,H
     0.050140193,723869,,branch-misses,18201591,36.39,,
     0.050140193,3003,,iTLB-load-misses,10192849,20.38,,
     0.050140193,133449,,dTLB-load-misses,11806667,23.60,,
     0.050140193,8747,,dTLB-store-misses,15804270,31.60,,
     0.050140193,250325,,L1-icache-load-misses,19802967,39.59,,
     0.050140193,5801561,,L1-dcache-load-misses,15874906,31.74,7.57,of all L1-dcache accesses
     0.050140193,1051768,,l2_rqsts.all_demand_miss,15828797,31.65,,
     0.050140193,283792,,LLC-load-misses,15824755,31.64,51.97,of all LL-cache accesses
     0.050140193,69300,,LLC-store-misses,15821824,31.64,,
     0.050140193,176716078,,cycles,19821119,39.64,,
     0.050140193,334626901,,instructions,23820354,47.64,1.89,insn per cycle
     0.050140193,76687189,,L1-dcache-loads,23955431,47.91,,
     0.050140193,3399841,,L1-dcache-load-misses,22393136,44.79,4.43,of all L1-dcache accesses
     0.050140193,546040,,LLC-loads,18398268,36.80,,
     0.050140193,299236,,LLC-load-misses,14401320,28.80,54.80,of all LL-cache accesses
     0.100477768,735528,,branch-misses,18326236,36.41,,
     0.100477768,6364,,iTLB-load-misses,17612250,34.99,,
     0.100477768,139411,,dTLB-load-misses,19996382,39.73,,
     0.100477768,11303,,dTLB-store-misses,20003570,39.74,,
     0.100477768,41922,,L1-icache-load-misses,20001819,39.74,,
     0.100477768,6188953,,L1-dcache-load-misses,16000358,31.79,20.50,of all L1-dcache accesses
     0.100477768,652539,,l2_rqsts.all_demand_miss,15999181,31.79,,
     0.100477768,527411,,LLC-load-misses,15995921,31.78,59.49,of all LL-cache accesses
     0.100477768,41237,,LLC-store-misses,16008200,31.80,,
     0.100477768,153357162,,cycles,19997340,39.73,,
     0.100477768,88182043,,instructions,20727233,41.18,0.58,insn per cycle
     0.100477768,30188033,,L1-dcache-loads,16730584,33.24,,
     0.100477768,4852003,,L1-dcache-load-misses,14341062,28.49,16.07,of all L1-dcache accesses
     0.100477768,886540,,LLC-loads,14337225,28.48,,
     0.100477768,400006,,LLC-load-misses,14326543,28.46,45.12,of all LL-cache accesses
     0.150818806,528828,,branch-misses,23278354,46.71,,
     0.150818806,1191,,iTLB-load-misses,23500684,47.16,,
     0.150818806,110027,,dTLB-load-misses,23491467,47.14,,
     0.150818806,8381,,dTLB-store-misses,23489684,47.14,,
